"Number","Entity","Transaction Date","Employee","Account Name","Is Deposited","Bank Account","Reconciliation Date","Amount","AR Amount (CAD)","Exported","Memo","Amount (CAD)","Tax Amount (CAD)","Tax Amount","Withholding Tax Amount (CAD)","Withholding Tax Amount","Division","Currency","Exchange Rate","Reverse Exchange Rate","Is Printed","Online Payment","Credit (CAD)","Template Name","Realized Amount (CAD)","Gain/Loss (CAD)","Attachments","Settled Date","Confirmation Number","Status"
"00017219542025","Costco Vaughan Wet","10/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 118,364.24","161,163.78","No",,"162,277.37","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"162,277.37","-1,113.59","No",,,
"2000237294","Sobeys Quebec City","10/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 13,749.12","18,657.56","No",,"18,850.04","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"18,850.04","-192.48","No",,,
"2000237294","Sobeys BCH","10/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 32,081.28","43,534.30","No",,"43,983.43","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"43,983.43","-449.13","No",,,
"00017139192025","Costco Vaughan Wet","10/10/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,111.00","32,790.96","No",,"33,224.96","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.38","No","No","0.00",,"33,224.96","-434.00","No",,,
"00017056712025","Costco Varennes","10/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,111.00","32,766.85","No",,"33,092.35","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,092.35","-325.50","No",,,
"00017056712025","Costco Vaughan Wet","10/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,111.00","32,766.85","No",,"33,092.35","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,092.35","-325.50","No",,,
"21631","Chiovitti Banana Co., Ltd","10/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 134,347.20","183,029.16","No",,"184,391.53","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"184,391.53","-1,362.37","Yes",,,
"00567205","Courchesne Larose","10/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,700.80","33,543.69","No",,"33,901.85","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,901.85","-358.16","No",,,
"2000228832","Sobeys BCH","10/08/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 16,040.64","21,678.92","No",,"21,927.55","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"21,927.55","-248.63","No",,,
"2000228832","Sobeys Quebec City","10/08/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 6,874.56","9,290.97","No",,"9,397.52","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"9,397.52","-106.55","No",,,
"2000226799","Sobeys BCH","10/07/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 32,081.28","43,301.70","No",,"43,694.70","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"43,694.70","-393.00","No",,,
"2000226799","Sobeys Quebec City","10/07/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 13,749.12","18,557.88","No",,"18,726.30","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"18,726.30","-168.42","No",,,
"29648","Top Banana","10/07/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 22,851.00","31,123.06","No",,"31,123.06","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"0.00","0.00","Yes",,,
"0008006078612","Agence du revenu du Canada","10/07/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC","10/31/2024","CAD 2,087.17","2,087.17","No",,"2,087.17","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"29634","Top Banana","10/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 22,851.00","31,100.21","No",,"31,134.49","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"31,134.49","-34.28","Yes",,,
" 00016772752025","Costco Vaughan Wet","10/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,156.00","32,828.00","No",,"32,912.55","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,912.55","-84.55","No",,,
"00016787052025","Costco Varennes","10/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 72,423.00","98,277.97","No",,"98,676.34","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"98,676.34","-398.37","No",,,
"00016787052025","Costco Vaughan Wet","10/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 96,579.00","131,081.82","No",,"131,588.89","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"131,588.89","-507.07","No",,,
"10/04/2024","Charlies Seattle","10/04/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 156,567.36","214,885.89","No",,"212,461.91","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","Yes","No","0.00",,"212,461.91","2,423.98","No",,,
"00016702952025","Costco Varennes","10/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,156.00","32,828.00","No",,"32,779.69","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,779.69","48.31","No",,,
"00016702952025","Costco Vaughan Wet","10/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 48,312.00","65,656.00","No",,"65,559.38","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"65,559.38","96.62","No",,,
"KPI01493","Krown Produce  Fresh At Its Best™","10/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 67,411.00","91,942.12","No",,"91,476.73","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"91,476.73","465.39","Yes",,,
"21571","Chiovitti Banana Co., Ltd","10/02/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 112,502.40","153,072.90","No",,"152,215.75","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"152,215.75","857.15","Yes",,,
"0000094759445","Revenu Québec","10/02/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC","10/31/2024","CAD 2,947.51","2,947.51","No",,"2,947.51","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"00016488412025","Costco Varennes","10/01/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 24,156.00","32,646.83","No",,"32,779.69","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,779.69","-132.86","No",,,
"00016488412025","Costco Vaughan Wet","10/01/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 96,624.00","130,551.09","No",,"131,118.77","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"131,118.77","-567.68","No",,,
"2000214908","Sobeys BCH","10/01/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 32,081.28","43,774.90","No",,"43,534.30","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"43,534.30","240.60","No",,,
"2000214908","Sobeys Quebec City","10/01/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","10/31/2024","USD 13,749.12","18,760.67","No",,"18,657.56","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"18,657.56","103.11","No",,,
"29559","Top Banana","09/27/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","31,077.36","No",,"30,860.28","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"30,860.28","217.08","No",,,
"00016383052025","Costco Varennes","09/27/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,610.60","No",,"32,622.68","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,622.68","-12.08","No",,,
"00016383052025","Costco Vaughan Wet","09/27/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,610.60","No",,"32,622.68","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,622.68","-12.08","No",,,
"00016313322025","Costco Vaughan Wet","09/26/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,598.52","No",,"32,610.60","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,610.60","-12.08","No",,,
"9/26/2024","Michelle Gubbells","09/26/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC","09/30/2024","CAD 385.72","385.72","No",,"385.72","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"00016235542025","Costco Varennes","09/25/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,707.22","No",,"32,526.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,526.05","181.17","No",,,
"00016235542025","Costco Vaughan Wet","09/25/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,707.22","No",,"32,526.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,526.05","181.17","No",,,
"21521","Chiovitti Banana Co., Ltd","09/25/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 112,968.00","153,160.21","No",,"152,111.41","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"152,111.41","1,048.80","No",,,
"00567038","Courchesne Larose","09/25/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,700.80","33,346.08","No",,"33,259.63","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"33,259.63","86.45","No",,,
"2000208172","Sobeys BCH","09/24/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,039.84","No",,"21,727.05","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"21,727.05","312.79","No",,,
"2000208172","Sobeys Quebec City","09/24/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,445.65","No",,"9,311.59","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"9,311.59","134.06","No",,,
"29506","Top Banana","09/23/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","31,054.51","No",,"31,031.66","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"31,031.66","22.85","No",,,
"00016101902025","Costco Varennes","09/23/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 48,312.00","65,776.78","No",,"65,607.70","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"65,607.70","169.08","No",,,
"00016101902025","Costco Vaughan Wet","09/23/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 96,579.00","131,516.46","No",,"131,154.28","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"131,154.28","362.18","No",,,
"2000204376","Sobeys Quebec City","09/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,452.52","No",,"9,342.53","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"9,342.53","109.99","No",,,
"2000204376","Sobeys BCH","09/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,055.88","No",,"21,799.23","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"21,799.23","256.65","No",,,
"00016004902025","Costco Vaughan Wet","09/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,924.63","No",,"32,900.47","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,900.47","24.16","No",,,
"00016004902025","Costco Varennes","09/20/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","32,924.63","No",,"32,900.47","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,900.47","24.16","No",,,
"KPI01479","Krown Produce  Fresh At Its Best™","09/19/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 109,930.50","149,282.47","No",,"149,725.34","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"149,725.34","-442.87","No",,,
"00015936802025","Costco Vaughan Wet","09/19/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","33,021.25","No",,"32,900.47","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,900.47","120.78","No",,,
" 00015863952025","Costco Varennes","09/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","33,154.11","No",,"33,045.41","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,045.41","108.70","No",,,
" 00015863952025","Costco Vaughan Wet","09/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,156.00","33,154.11","No",,"33,045.41","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,045.41","108.70","No",,,
"21454","Chiovitti Banana Co., Ltd","09/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 112,142.40","151,498.89","No",,"153,410.80","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"153,410.80","-1,911.91","No",,,
"00566966","Courchesne Larose","09/18/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,700.80","33,667.19","No",,"33,790.69","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.37","No","No","0.00",,"33,790.69","-123.50","No",,,
"29460","Top Banana","09/17/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","30,848.85","No",,"31,191.62","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"31,191.62","-342.77","No",,,
"2000198184","Sobeys Quebec City","09/17/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,480.02","No",,"9,383.77","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"9,383.77","96.25","No",,,
"2000198184","Sobeys BCH","09/17/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,120.04","No",,"21,895.47","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"21,895.47","224.57","No",,,
"00015714922025","Costco Varennes","09/16/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,606.00","33,860.92","No",,"33,488.77","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"33,488.77","372.15","No",,,
"00015714922025","Costco Vaughan Wet","09/16/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 97,479.00","134,089.48","No",,"132,668.92","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"132,668.92","1,420.56","No",,,
"0000813568713","Michelle Gubbels","09/16/2024","Karyne Manseau","Comptes clients CAD","Yes","Comptant CAD RBC","09/30/2024","CAD 578.58","578.58","No",,"578.58","0.00","CAD 0.00","0.00","CAD 0.00",,"Canadian Dollar","1.00","1.00","No","No","0.00",,"0.00","0.00","No",,,
"29427","Top Banana","09/13/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","30,837.42","No",,"31,123.06","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"31,123.06","-285.64","No",,,
"00015615562025","Costco Varennes","09/13/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,152.62","No",,"32,839.18","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,839.18","313.44","No",,,
"00015615562025","Costco Vaughan Wet","09/13/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,152.62","No",,"32,839.18","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,839.18","313.44","No",,,
"2000194686","Sobeys BCH","09/13/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,264.41","No",,"21,847.35","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"21,847.35","417.06","No",,,
"2000194686","Sobeys Quebec City","09/13/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,541.89","No",,"9,363.15","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"9,363.15","178.74","No",,,
"00015547532025","Costco Vaughan Wet","09/12/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,176.74","No",,"32,815.07","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,815.07","361.67","No",,,
"00015479082025","Costco Vaughan Wet","09/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,152.62","No",,"32,839.18","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,839.18","313.44","No",,,
"00015479082025","Costco Varennes","09/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,152.62","No",,"32,839.18","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"32,839.18","313.44","No",,,
"21396","Chiovitti Banana Co., Ltd","09/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 112,848.00","154,055.28","No",,"153,698.98","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"153,698.98","356.30","No",,,
"566873","Courchesne Larose","09/11/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,700.80","33,988.30","No",,"33,642.49","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.73","1.36","No","No","0.00",,"33,642.49","345.81","No",,,
"2000186468","Sobeys BCH","09/10/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,296.49","No",,"21,815.27","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"21,815.27","481.22","No",,,
"2000186468","Sobeys Quebec City","09/10/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,555.64","No",,"9,349.40","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"9,349.40","206.24","No",,,
"00015341752025","Costco Varennes","09/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 48,222.00","66,449.92","No",,"65,533.70","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"65,533.70","916.22","No",,,
"00015341752025","Costco Vaughan Wet","09/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 96,444.00","132,923.95","No",,"131,067.40","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"131,067.40","1,856.55","No",,,
"29361","Top Banana","09/09/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","31,145.91","No",,"31,054.51","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"31,054.51","91.40","No",,,
"00015239502025","Costco Vaughan Wet","09/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,249.07","No",,"32,742.74","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,742.74","506.33","No",,,
"00015239502025","Costco Varennes","09/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,249.07","No",,"32,742.74","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,742.74","506.33","No",,,
"2000182759","Sobeys BCH","09/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 16,040.64","22,248.35","No",,"21,783.19","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"21,783.19","465.16","No",,,
"2000182759","Sobeys Quebec City","09/06/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 6,874.56","9,535.01","No",,"9,335.65","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"9,335.65","199.36","No",,,
"KPI01457","Krown Produce  Fresh At Its Best™","09/05/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 95,949.00","131,573.80","No",,"130,010.90","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"130,010.90","1,562.90","No",,,
"00015171762025","Costco Vaughan Wet","09/05/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,514.29","No",,"32,670.41","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,670.41","843.88","No",,,
"00015092302025","Costco Vaughan Wet","09/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,514.29","No",,"32,766.85","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,766.85","747.44","No",,,
"00015092302025","Costco Varennes","09/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,111.00","33,514.29","No",,"32,766.85","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,766.85","747.44","No",,,
"21340","Chiovitti Banana Co., Ltd","09/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 89,644.80","123,304.36","No",,"121,827.28","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"121,827.28","1,477.08","No",,,
"566786","Courchesne Larose","09/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,700.80","34,334.11","No",,"33,568.39","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"33,568.39","765.72","No",,,
"2000176165","Sobeys BCH","09/04/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,915.20","31,749.01","No",,"31,141.76","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"31,141.76","607.25","No",,,
,"Charlies Seattle","09/03/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 143,689.92","197,263.38","No",,"194,196.93","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"194,196.93","3,066.45","No",,,
"00015014082025","Costco Varennes","09/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 90.00","124.14","No",,"122.31","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"122.31","1.83","No",,,
"00015014082025","Costco Vaughan Wet","09/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 24,246.00","33,700.53","No",,"32,950.31","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"32,950.31","750.22","No",,,
"29295","Top Banana","09/03/2024","Vasty Santamaria","Comptes clients USD","Yes","Comptant USD RBC","09/30/2024","USD 22,851.00","31,397.27","No",,"31,054.51","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.36","No","No","0.00",,"31,054.51","342.76","No",,,
"00033509592024","Costco Varennes","08/30/2024","Karyne Manseau","Comptes clients USD","Yes","Comptant USD RBC","08/31/2024","USD 24,111.00","33,466.07","No",,"32,586.02","0.00","USD 0.00","0.00","USD 0.00",,"United States Dollar","0.74","1.35","No","No","0.00",,"32,586.02","880.05","No",,,
