"Account Number","Name","Street and Number","City","State","Country","Zip code","Phone","Mobile Phone","Email","Fax","Website","Contact First Name","Contact Last Name","Identification Number","Ident. number type","System ID","Parent Account","Division","Incoterms","Phone Extension","IP Address","Street and Number 1","Street and Number 2","Street and Number 3","Billing Street and Number","Billing City","Billing State","Billing Country","Billing Zip Code","Billing Street and Number 1","Billing Street and Number 2","Billing Street and Number 3","Entity ID","Inactive","Has Transactions","Type","Known Shipper","Known Shipper Expiration Date","Notes","Attachments","Transaction Tracking","Has Open Transactions","Prepaid","Date of Birth","Last Screening Status","Last Screening Date","Preferred Currency","Balance (CAD)","Credit Limit (CAD)","Due Days","Payment Terms","Available Credit (CAD)","Billing Period","Last Payment Amount (CAD)","Last Payment Date","1099 Eligible","Supplier Invoice?"
,"ANACAPA FRESH LOGISTICS, LLC","5994 W Las Positas Blvd, Suite 123","Pleasanton","CA","United States","94588",,,,,,,,,"Other","0",,,,,"0.0.0.0","5994 W Las Positas Blvd, Suite 123",,,"5994 W Las Positas Blvd, Suite 123","Pleasanton","CA","United States","94588","5994 W Las Positas Blvd, Suite 123",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,849.35","10/21/2024","No","No"
,"Fresh Plaza B.V.","Stevinweg 2  4691 SM THOLEN",,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0","Stevinweg 2","4691 SM THOLEN",,"Stevinweg 2  4691 SM THOLEN",,,,,"Stevinweg 2","4691 SM THOLEN",,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","997.40","10/25/2024","No","No"
"021000089-31298858","ZIM AMERICAN INTEGRATED SHIPPING SERVICES CO., LLC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"-0.02","0.00","0",,"0.00","Never Apply","14,038.57","01/09/2025","No","No"
,"RF Cargo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","5,857.63","06/21/2024","No","No"
,"J K Fresh LLC.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"341.35","0.00","0",,"0.00","Never Apply","3,260.30","12/19/2024","No","No"
"MRMDUS33-000279331","CMA CGM (AMERICA) LLC",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,"BENEFICIARY: CMACGM & ANL
SECURITIES BV
HSBC BANK USA, N.A.
452 FIFTH AVENUE
NEW YORK, NY 10018
ABA/ROUTING WIRE#: 021001088
ACH: 022000020
ACCT #: 000279331","No","Use default configuration","No","No",,,,"United States Dollar","-0.03","0.00","0","Due on receipt","0.00","Never Apply","4,732.73","08/13/2024","No","No"
,"Impact XM.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","4,937.80","11/22/2024","No","No"
,"Chiovitti Canada Co. Ltd",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","629.90","02/23/2024","No","No"
,"Daniel Loggale",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","132.89","03/31/2023","No","No"
,"Luca Falcicchio",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","125.06","03/31/2023","No","No"
,"BGL Brokerage Ltd","715 SQUARE-VICTORIA SUITE 200","MONTREAL",,,,,,,,,,,,"Other","0",,,,,"0.0.0.0","715 SQUARE-VICTORIA SUITE 200",,,"715 SQUARE-VICTORIA SUITE 200","MONTREAL",,,,"715 SQUARE-VICTORIA SUITE 200",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"153.08","0.00","15","Net 15","0.00","Never Apply","735.95","01/09/2025","No","No"
,"Bon pour toi Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,379.70","04/13/2023","No","No"
,"Canada Border Services Agency",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","798.99","09/06/2024","No","No"
"BAALPAPAXXX-14000003095","CALIDAD Y PRODUCTIVIDAD LAS AMERICAS, S.A CPLA",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","No",,,,,"14.53","0.00","0","Due on receipt","0.00","Never Apply","4,414.86","01/02/2025","No","No"
,"DaszkalBolton",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,513.05","04/17/2023","No","No"
,"AQDFL",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","01/15/2024","No","No"
,"Channel Islands Warehouse, Inc.","P.O Box 6229","Oxnard","CA","United States","93031",,,,,,,,,"Other","0",,,,,"0.0.0.0","P.O Box 6229",,,"P.O Box 6229","Oxnard","CA","United States","93031","P.O Box 6229",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0",,"0.00","Never Apply","1,282.48","12/20/2024","No","No"
,"Organic Produce Summit",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","10,958.69","10/03/2024","No","No"
"066012867-223405706","Latbio S.A.","10 de agosto entre Pichincha y García Moreno","Pasaje","El Oro","Ecuador",,"+593 98 474 9653",,"comex@latbio.com.ec",,"www.latbio.com.ec",,,"CoC 4063651209976","Other","0",,,,,"0.0.0.0","10 de agosto entre Pichincha y García Moreno",,,"10 de agosto entre Pichincha y García Moreno","Pasaje","El Oro","Ecuador",,"10 de agosto entre Pichincha y García Moreno",,,"EC-BIO-149","No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"United States Dollar","0.01","0.00","10","Net 10","0.00","Never Apply","19,657.93","12/27/2024","No","Yes"
"PICHECEQXXX-3475985204","Corporacion promesa el guabo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","No",,,,"United States Dollar","0.00","0.00","0",,"0.00","Never Apply","37,109.10","01/08/2025","No","No"
,"PRIETO EXPORT S.A.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,138.60","03/16/2023","No","No"
,"Costco.ca",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","12/01/2023","No","No"
,"Lang Students' Association",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","375.00","01/20/2023","No","No"
,"Agence canadienne d'inspection des aliments",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","287.22","12/12/2024","No","No"
,"Microsoft",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","12/01/2023","No","No"
,"Amazon.ca",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"Canadian Dollar","0.00","0.00","0","Mastercard","0.00","Never Apply","0.00","12/01/2023","No","No"
,"Digital Ocean",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"-0.01","0.00","0",,"0.00","Never Apply","27.94","01/01/2025","No","No"
,"Rexall",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","12/01/2023","No","No"
,"Yellow Image",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","12/01/2023","No","No"
,"Star Metroland Sbscrp",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,,"0.00","0.00","0","Mastercard","0.00","Never Apply","0.00","12/01/2023","No","No"
,"Linguistica360, Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"United States Dollar","0.00","0.00","0","Mastercard","0.00","Never Apply","31.21","11/22/2023","No","No"
,"Canadian Business for Social Responsibility",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","No","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
"BMACECEGXXX-1010999274","PRIECOR S.A.","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo","Machala",,"Ecuador",,"593 7 294 1129","593 95 893 4182","sarmijos.sapriet@gmail.com",,,"Stalin","Armijos Encalada","0791791022001","Other","0",,,,,"0.0.0.0","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo",,,"Avenida 25 de Junio y Napoleón Mera. Edificio Contempo","Machala",,"Ecuador",,"Avenida 25 de Junio y Napoleón Mera. Edificio Contempo",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","No",,,,"United States Dollar","38,226.60","0.00","0","Due on receipt","0.00","Never Apply","19,364.04","12/30/2024","No","Yes"
,"Degrandpré Chait",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,922.16","12/20/2024","No","No"
,"International fresh produce Association",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","940.23","01/02/2025","No","No"
"PACIECEG-07996519","ASOCIACION DE DESARROLLO SOCIAL UNION",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.01","0.00","0",,"0.00","Never Apply","10,344.60","01/07/2025","No","No"
,"Monica Chakcal",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","135.00","12/07/2022","No","No"
,"Meltwater",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","10,117.80","08/12/2024","No","No"
,"Productions Cazabon Inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","934.80","11/22/2022","No","No"
"BAALPAPAXXX-114891757","Walter Ugalde Almengor",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.01","0.00","0",,"0.00","Never Apply","5,933.86","01/02/2025","No","No"
,"Feliciaa Richer",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","36.00","11/16/2022","No","No"
,"Traffix, 673753 Ontario Limited DBA Traffix","1-375 Wheelabrator Way","Milton","ON","Canada","L9T 3C1","8888345356",,"AR@traffix.com",,,,,,"Other","0",,,,,"0.0.0.0","1-375 Wheelabrator Way",,,"1-375 Wheelabrator Way","Milton","ON","Canada","L9T 3C1","1-375 Wheelabrator Way",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","30","Net 30","0.00","Never Apply","8,925.00","01/26/2024","No","No"
,"Farm Journal",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,859.95","11/18/2024","No","No"
,"Marie Lamare",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","104.52","06/09/2023","No","No"
,"BananaLink",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"20.00","0.00","0",,"0.00","Never Apply","3,069.98","11/07/2022","No","No"
,"NSF International",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","862.31","11/24/2022","No","No"
,"Eco friendly choices",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","24.87","11/07/2022","No","No"
,"Environnement Jeunesse",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","110.32","10/30/2024","No","No"
,"Segal & Santillo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","7,494.97","10/27/2022","No","No"
"BBOLECEGXXX-0005310788","Marplantis Organic Sustainable Agriculture","DATILES 416 Y CALLE 6TA","GUAYAQUIL","GUAYAS","Ecuador",,"(593) 042 388457",,"contabilidad@marplantis.com",,,,,,"Other","0",,,,,"0.0.0.0","DATILES 416 Y CALLE 6TA",,,"DATILES 416 Y CALLE 6TA","GUAYAQUIL","GUAYAS","Ecuador",,"DATILES 416 Y CALLE 6TA",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"158,046.77","0.00","0",,"0.00","Never Apply","68,646.48","01/07/2025","No","Yes"
,"Gerifruit Organic Fruit","Av. León Febres Cordero  Edificio River Plaza  Piso 5 Oficina 505.","Daule","Guayas","Ecuador",,,,"arturoandrade@gerifruit.com",,,"Arturo","Andrade",,"Other","0",,,,,"0.0.0.0","Av. León Febres Cordero","Edificio River Plaza","Piso 5 Oficina 505.","Av. León Febres Cordero  Edificio River Plaza  Piso 5 Oficina 505.","Daule","Guayas","Ecuador",,"Av. León Febres Cordero","Edificio River Plaza","Piso 5 Oficina 505.",,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"United States Dollar","0.01","0.00","0",,"0.00","Never Apply","10,718.80","02/23/2023","No","Yes"
,"Packer Avenue (Greenwich Terminals LLC)",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.04","0.00","0","Due on receipt","0.00","Never Apply","1,046.46","02/28/2023","No","No"
,"United Safety Agents",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","7,832.86","01/13/2025","No","No"
"BDERUS3M-115076741","Surgesa S.A.","Luque #127","Pedro Carbo","Guayaquil","Ecuador","090307",,,,,,,,,"Other","0",,,,,"0.0.0.0","Luque #127",,,"Luque #127","Pedro Carbo","Guayaquil","Ecuador","090307","Luque #127",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","No",,,,,"46,959.95","0.00","0",,"0.00","Never Apply","37,295.78","01/07/2025","No","Yes"
,"RightSleeve",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","12/01/2023","No","No"
,"Blue Book Services, Inc.","845 E. GENEVA RD","CAROL STREAM","IL","United States","60188-3520","630 668-3500",,"info@bluebookservices.com","630 668-0303",,,,,"Other","0",,,,,"0.0.0.0","845 E. GENEVA RD",,,"845 E. GENEVA RD","CAROL STREAM","IL","United States","60188-3520","845 E. GENEVA RD",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","2,668.65","11/29/2024","No","No"
,"Golay","136-137 Rue Saint-Ferdinand","Montréal","QC","Canada","H4C 2S6",,,"info@golay.ca",,,,,,"Other","0",,,,,"0.0.0.0","136-137 Rue Saint-Ferdinand",,,"136-137 Rue Saint-Ferdinand","Montréal","QC","Canada","H4C 2S6","136-137 Rue Saint-Ferdinand",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,103.76","09/19/2022","No","No"
,"EntreChefs PME",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","689.85","08/30/2024","No","No"
,"Kristian G Grafing",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","82.65","09/01/2022","No","No"
,"David Melo",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","14.94","10/23/2024","No","No"
,"Corporation Inno-Centre du Quebec",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","21.59","05/03/2023","No","No"
,"Tik Tok",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","Yes","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","11/30/2024","No","No"
,"Université de Sherbrooke",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","83.72","06/04/2022","No","No"
"BCINPAPA-677320101","PH Explora",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"-164,281.25","0.00","0",,"0.00","Never Apply","20,714.50","12/27/2024","No","No"
,"CostcoMarkhamEast",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","250.00","05/20/2022","No","No"
,"Naomi Bendayan",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","285.14","11/15/2024","No","No"
,"Magasin du Monde du Collège de l’Assomption",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","119.20","11/04/2024","No","No"
,"Code Serigraphie & Broderie",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","677.20","09/28/2022","No","No"
,"Kiosk Dimensions inc.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","339.00","04/06/2023","No","No"
,"SPS",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Mastercard","0.00","Never Apply","156.73","01/08/2025","No","No"
,"Etik & co",,,,,,,,,,,"Loic","de Fabritus Gautier",,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","226.26","06/13/2022","No","No"
,"Loadex Inc.","1090 South Service Rd. East","Oakvillle","ON","Canada","L6K 2X8","8778356340","9058424001","accounting@loadex.ca","2898160345",,,,,"Other","0",,,,,"0.0.0.0","1090 South Service Rd. East",,,"1090 South Service Rd. East","Oakvillle","ON","Canada","L6K 2X8","1090 South Service Rd. East",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,"United States Dollar","0.00","0.00","30","Net 30","0.00","Never Apply","9,325.51","01/06/2023","No","No"
,"BGY, Rémunération globale et avantages sociaux",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","4,024.13","02/22/2022","No","No"
,"Greig Gilbert",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","1,350.00","01/31/2022","No","No"
,"VECONINTER USA, LLC.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","253.13","09/13/2024","No","No"
,"Association Végétarienne de Montréal",,,,,,"514-835-1167",,"tresorerie@vegemontreal.org",,"vegemontreal.org",,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,"AVM","No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","1,149.75","01/13/2022","No","No"
,"Association des anciennes et anciens de l'ITA",,,,,,,,"associationanciens.ita@gmail.com",,,"Patrick","Sullivan",,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","275.00","06/07/2022","No","No"
,"Costco_Empties",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00","02/16/2022","No","No"
,"Universidad de los Andes",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","2,700.00","05/19/2023","No","No"
"002-47696-800028725314","Seaboard Marine Ltd.",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,,"0.00","0.00","0","Due on receipt","0.00","Never Apply","5,888.09","01/09/2025","No","No"
"021300077 - 8739021338","PSA Penn Terminals","1 Saville Avenue","Eddystone,","PA","United States","19022",,,"jsingleton@pennterminals.com",,,"Jill","Singleton",,"Other","0",,,,,"0.0.0.0","1 Saville Avenue",,,"1 Saville Avenue","Eddystone,","PA","United States","19022","1 Saville Avenue",,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","2,413.17","05/02/2024","No","No"
,"Costco Finds Canada",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"Canadian Dollar","0.00","0.00","0","Due on receipt","0.00","Never Apply","357.50","01/31/2023","No","No"
,"Gloucester Terminals LLC","King & Essex Streets  P.O Box 560","Gloucester City","NJ","United States","08030",,,"AccountsReceivable@holtlogistics.com",,,"Priscilla","Hill",,"Other","0",,,,,"0.0.0.0","King & Essex Streets","P.O Box 560",,"King & Essex Streets  P.O Box 560","Gloucester City","NJ","United States","08030","King & Essex Streets","P.O Box 560",,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,"United States Dollar","0.01","0.00","0","Due on receipt","0.00","Never Apply","1,384.59","01/08/2025","No","No"
,"Costco Everything",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","Yes","Vendors","No",,,"No","Use default configuration","No","No",,,,,"0.00","0.00","0","Due on receipt","0.00","Never Apply","100.00","12/14/2021","No","No"
,"Zvi Rafilovich",,,,,,,,,,,,,,"Other","0",,,,,"0.0.0.0",,,,,,,,,,,,,"No","No","Vendors","No",,,"No","Use default configuration","No","Yes",,,,,"0.00","0.00","0",,"0.00","Never Apply","0.00",,"No","No"
