Type,Number,Applied to,Date,Employee,Account Name,Debit (CAD),Credit (CAD),Balance (CAD),Memo,Reconciliation Date,Debit,Credit,Balance,Cleared,Clearing,Currency,Internal Type,Amount (CAD),Amount
Bill,21H44680,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Livraison au client,"1,832.26",,"-1,832.26",,,"USD 1,430.00",USD 0.00,"USD -1,430.00",No,No,United States Dollar,Bill,"1,832.26","USD 1,430.00"
Bill,21H44681,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,"2,120.55","-2,120.55",,,USD 0.00,"USD 1,655.00","USD -1,655.00",No,No,United States Dollar,Bill,"2,120.55","USD 1,655.00"
Bill,21H44681,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Livraison au client,"1,832.26",,"-1,832.26",,,"USD 1,430.00",USD 0.00,"USD -1,430.00",No,No,United States Dollar,Bill,"1,832.26","USD 1,430.00"
Bill,21H44681,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Reefer plugin,288.29,,-288.29,,,USD 225.00,USD 0.00,USD -225.00,No,No,United States Dollar,Bill,288.29,USD 225.00
Bill,21H44682,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,"1,832.26","-1,832.26",,,USD 0.00,"USD 1,430.00","USD -1,430.00",No,No,United States Dollar,Bill,"1,832.26","USD 1,430.00"
Bill,21H44682,Holt Cargo Systems LLC,12/28/2021,Karyne Manseau,Livraison au client,"1,832.26",,"-1,832.26",,,"USD 1,430.00",USD 0.00,"USD -1,430.00",No,No,United States Dollar,Bill,"1,832.26","USD 1,430.00"
Bill,357026,721 LOGISTICS LLC DBA J&K FRESHEAST,12/28/2021,Karyne Manseau,Comptes payables USD,,172.98,-172.98,,,USD 0.00,USD 135.00,USD -135.00,No,No,United States Dollar,Bill,172.98,USD 135.00
Bill,357026,721 LOGISTICS LLC DBA J&K FRESHEAST,12/28/2021,Karyne Manseau,US Clearance,172.98,,-172.98,,,USD 135.00,USD 0.00,USD -135.00,No,No,United States Dollar,Bill,172.98,USD 135.00
Bill,357030,721 LOGISTICS LLC DBA J&K FRESHEAST,12/28/2021,Karyne Manseau,Comptes payables USD,,172.98,-172.98,,,USD 0.00,USD 135.00,USD -135.00,No,No,United States Dollar,Bill,172.98,USD 135.00
Bill,357030,721 LOGISTICS LLC DBA J&K FRESHEAST,12/28/2021,Karyne Manseau,US Clearance,172.98,,-172.98,,,USD 135.00,USD 0.00,USD -135.00,No,No,United States Dollar,Bill,172.98,USD 135.00
Bill,4072,Ten Acre Marketing,12/28/2021,Karyne Manseau,Comptes payables CAD,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,Bill,0.00,CAD 0.00
Bill,4072,Ten Acre Marketing,12/28/2021,Karyne Manseau,Business Development Sponsorship US,"2,639.27",,"-2,639.27",,,"CAD 2,639.27",CAD 0.00,"CAD -2,639.27",No,No,Canadian Dollar,Bill,"2,639.27","CAD 2,639.27"
Bill,4072,Ten Acre Marketing,12/28/2021,Karyne Manseau,Mastercard à payer,,"2,639.27","2,639.27",,,CAD 0.00,"CAD 2,639.27","CAD 2,639.27",No,No,Canadian Dollar,BillLine,"-2,639.27","CAD -2,639.27"
Bill,CAML211254063W,MSC,12/28/2021,Karyne Manseau,Comptes payables USD,,"4,298.76","-4,298.76",,,USD 0.00,"USD 3,355.00","USD -3,355.00",No,No,United States Dollar,Bill,"4,298.76","USD 3,355.00"
Bill,CAML211254063W,MSC,12/28/2021,Karyne Manseau,Transport Maritime,"4,298.76",,"-4,298.76",,,"USD 3,355.00",USD 0.00,"USD -3,355.00",No,No,United States Dollar,Bill,"4,298.76","USD 3,355.00"
Bill,21T95643,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,832.85,-832.85,,,USD 0.00,USD 650.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95643,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Manutention port,832.85,,-832.85,,,USD 650.00,USD 0.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95667,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,832.85,-832.85,,,USD 0.00,USD 650.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95667,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Manutention port,832.85,,-832.85,,,USD 650.00,USD 0.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95631-1895,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,832.85,-832.85,,,USD 0.00,USD 650.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95631-1895,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Manutention port,832.85,,-832.85,,,USD 650.00,USD 0.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95631-1894,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Comptes payables USD,,832.85,-832.85,,,USD 0.00,USD 650.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,21T95631-1894,Gloucester Terminals LLC,12/28/2021,Karyne Manseau,Manutention port,832.85,,-832.85,,,USD 650.00,USD 0.00,USD -650.00,No,No,United States Dollar,Bill,832.85,USD 650.00
Bill,1900,Fairtrade Canada inc.,12/28/2021,Karyne Manseau,Comptes payables CAD,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,Bill,0.00,CAD 0.00
Bill,1900,Fairtrade Canada inc.,12/28/2021,Karyne Manseau,Frais de licence CA,261.22,,-261.22,,,CAD 261.22,CAD 0.00,CAD -261.22,No,No,Canadian Dollar,Bill,261.22,CAD 261.22
Bill,1900,Fairtrade Canada inc.,12/28/2021,Karyne Manseau,Frais courus Fairtrade CA,,261.22,261.22,,,CAD 0.00,CAD 261.22,CAD 261.22,No,No,Canadian Dollar,BillLine,-261.22,CAD -261.22
Bill,28-12-2021,EL GUABO,12/28/2021,Karyne Manseau,Comptes payables USD,,12.81,-12.81,,,USD 0.00,USD 10.00,USD -10.00,No,No,United States Dollar,Bill,12.81,USD 10.00
Bill,28-12-2021,ASOGUABO,12/28/2021,Karyne Manseau,Frais bancaires,12.81,,-12.81,,,USD 10.00,USD 0.00,USD -10.00,No,No,United States Dollar,Bill,12.81,USD 10.00
Bill Payment,4105,EL GUABO,12/28/2021,Karyne Manseau,Comptant USD,,"69,465.68","-69,465.68",,12/31/2021,USD 0.00,"USD 54,215.00","USD -54,215.00",Yes,No,United States Dollar,BillPaymentCheck,"69,465.68","USD 54,215.00"
Check,4105,EL GUABO,12/28/2021,Karyne Manseau,Comptes payables USD,"69,481.94",,"-69,481.94",,,"USD 54,215.00",USD 0.00,"USD -54,215.00",Yes,No,United States Dollar,CheckAdjustLine,"69,481.94","USD 54,215.00"
Check,4105,EL GUABO,12/28/2021,Karyne Manseau,Gains/Pertes de change réalisés Magaya,,16.26,16.26,Currency Adjustment,,CAD 0.00,CAD 16.26,CAD 16.26,Yes,No,Canadian Dollar,CheckAdjustLine,-16.26,CAD -16.26
Bill,3168-1908,APPBOSA,12/28/2021,Amandine Hance,Comptes payables USD,,"17,815.27","-17,815.27",,,USD 0.00,"USD 13,900.80","USD -13,900.80",No,No,United States Dollar,Bill,"17,815.27","USD 13,900.80"
Bill,3168-1908,APPBOSA,12/28/2021,Amandine Hance,Prime sociale,"1,230.34",,"-1,230.34",,,USD 960.00,USD 0.00,USD -960.00,No,No,United States Dollar,Bill,"1,230.34",USD 960.00
Bill,3168-1908,APPBOSA,12/28/2021,Amandine Hance,Frais booking Perou,98.43,,-98.43,,,USD 76.80,USD 0.00,USD -76.80,No,No,United States Dollar,Bill,98.43,USD 76.80
Bill,3168-1908,APPBOSA,12/28/2021,Amandine Hance,Inventaire des fruits,"16,486.50",,,,,"CAD 16,486.50",CAD 0.00,CAD 0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentBill,"16,486.50","CAD 16,486.50"
Bill,1905,AgroFair,12/29/2021,Karyne Manseau,Comptes payables USD,,,,,,USD 0.00,USD 0.00,USD -0.00,No,No,United States Dollar,Bill,0.00,USD 0.00
Bill,1905,AgroFair,12/29/2021,Karyne Manseau,Frais qualité - origine,122.92,,-122.92,,,USD 96.00,USD 0.00,USD -96.00,No,No,United States Dollar,Bill,122.92,USD 96.00
Bill,1905,AgroFair,12/29/2021,Karyne Manseau,Frais courus qualité-origine,,122.92,122.92,,,USD 0.00,USD 96.00,USD 96.00,No,No,United States Dollar,BillLine,-122.92,USD -96.00
Bill,1905,Fairtrade Canada inc.,12/29/2021,Karyne Manseau,Comptes payables CAD,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,Bill,0.00,CAD 0.00
Bill,1905,Fairtrade Canada inc.,12/29/2021,Karyne Manseau,Frais de licence CA,261.22,,-261.22,,,CAD 261.22,CAD 0.00,CAD -261.22,No,No,Canadian Dollar,Bill,261.22,CAD 261.22
Bill,1905,Fairtrade Canada inc.,12/29/2021,Karyne Manseau,Frais courus Fairtrade CA,,261.22,261.22,,,CAD 0.00,CAD 261.22,CAD 261.22,No,No,Canadian Dollar,BillLine,-261.22,CAD -261.22
Bill,21H45045,Holt Cargo Systems LLC,12/29/2021,Karyne Manseau,Comptes payables USD,,"2,215.09","-2,215.09",,,USD 0.00,"USD 1,730.00","USD -1,730.00",No,No,United States Dollar,Bill,"2,215.09","USD 1,730.00"
Bill,21H45045,Holt Cargo Systems LLC,12/29/2021,Karyne Manseau,Livraison au client,"1,927.00",,"-1,927.00",,,"USD 1,505.00",USD 0.00,"USD -1,505.00",No,No,United States Dollar,Bill,"1,927.00","USD 1,505.00"
Bill,21H45045,Holt Cargo Systems LLC,12/29/2021,Karyne Manseau,Reefer plugin,288.09,,-288.09,,,USD 225.00,USD 0.00,USD -225.00,No,No,United States Dollar,Bill,288.09,USD 225.00
Bill,21H45046,Holt Cargo Systems LLC,12/29/2021,Karyne Manseau,Comptes payables USD,,"1,830.97","-1,830.97",,,USD 0.00,"USD 1,430.00","USD -1,430.00",No,No,United States Dollar,Bill,"1,830.97","USD 1,430.00"
Bill,21H45046,Holt Cargo Systems LLC,12/29/2021,Karyne Manseau,Livraison au client,"1,830.97",,"-1,830.97",,,"USD 1,430.00",USD 0.00,"USD -1,430.00",No,No,United States Dollar,Bill,"1,830.97","USD 1,430.00"
Bill Payment,4108,COQUIMBA,12/29/2021,Karyne Manseau,Comptant USD,,627.40,-627.40,,12/31/2021,USD 0.00,USD 490.00,USD -490.00,Yes,No,United States Dollar,BillPaymentCheck,627.40,USD 490.00
Check,4108,COQUIMBA,12/29/2021,Karyne Manseau,Comptes payables USD,634.16,,-634.16,,,USD 490.00,USD 0.00,USD -490.00,Yes,No,United States Dollar,CheckAdjustLine,634.16,USD 490.00
Check,4108,COQUIMBA,12/29/2021,Karyne Manseau,Gains/Pertes de change réalisés Magaya,,6.76,6.76,Currency Adjustment,,CAD 0.00,CAD 6.76,CAD 6.76,Yes,No,Canadian Dollar,CheckAdjustLine,-6.76,CAD -6.76
Bill,C38805885-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,48.74,-48.74,,,CAD 0.00,CAD 48.74,CAD -48.74,No,No,Canadian Dollar,Bill,48.74,CAD 48.74
Bill,C38805885-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38805885-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,2.12,,-2.12,,,CAD 2.12,CAD 0.00,CAD -2.12,No,No,Canadian Dollar,BillLine,2.12,CAD 2.12
Bill,C38805885-00,FEDEX,12/29/2021,Karyne Manseau,TVQ payée sur les achats,4.22,,-4.22,,,CAD 4.22,CAD 0.00,CAD -4.22,No,No,Canadian Dollar,BillLine,4.22,CAD 4.22
Bill Payment,4107,COQUIMBA,12/29/2021,Karyne Manseau,Comptant USD,,"5,789.97","-5,789.97",,12/31/2021,USD 0.00,"USD 4,522.00","USD -4,522.00",Yes,No,United States Dollar,BillPaymentCheck,"5,789.97","USD 4,522.00"
Check,4107,COQUIMBA,12/29/2021,Karyne Manseau,Comptes payables USD,"5,852.37",,"-5,852.37",,,"USD 4,522.00",USD 0.00,"USD -4,522.00",Yes,No,United States Dollar,CheckAdjustLine,"5,852.37","USD 4,522.00"
Check,4107,COQUIMBA,12/29/2021,Karyne Manseau,Gains/Pertes de change réalisés Magaya,,62.40,62.40,Currency Adjustment,,CAD 0.00,CAD 62.40,CAD 62.40,Yes,No,Canadian Dollar,CheckAdjustLine,-62.40,CAD -62.40
Bill,C38805970-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,47.91,-47.91,,,CAD 0.00,CAD 47.91,CAD -47.91,No,No,Canadian Dollar,Bill,47.91,CAD 47.91
Bill,C38805970-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38805970-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,5.51,,-5.51,,,CAD 5.51,CAD 0.00,CAD -5.51,No,No,Canadian Dollar,BillLine,5.51,CAD 5.51
Bill,C38806439-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,47.91,-47.91,,,CAD 0.00,CAD 47.91,CAD -47.91,No,No,Canadian Dollar,Bill,47.91,CAD 47.91
Bill,C38806439-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38806439-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,5.51,,-5.51,,,CAD 5.51,CAD 0.00,CAD -5.51,No,No,Canadian Dollar,BillLine,5.51,CAD 5.51
Bill,C38814027-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,47.91,-47.91,,,CAD 0.00,CAD 47.91,CAD -47.91,No,No,Canadian Dollar,Bill,47.91,CAD 47.91
Bill,C38814027-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38814027-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,5.51,,-5.51,,,CAD 5.51,CAD 0.00,CAD -5.51,No,No,Canadian Dollar,BillLine,5.51,CAD 5.51
Bill,C38814164-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,47.91,-47.91,,,CAD 0.00,CAD 47.91,CAD -47.91,No,No,Canadian Dollar,Bill,47.91,CAD 47.91
Bill,C38814164-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38814164-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,5.51,,-5.51,,,CAD 5.51,CAD 0.00,CAD -5.51,No,No,Canadian Dollar,BillLine,5.51,CAD 5.51
Bill,C38814167-00,FEDEX,12/29/2021,Karyne Manseau,Comptes payables CAD,,47.91,-47.91,,,CAD 0.00,CAD 47.91,CAD -47.91,No,No,Canadian Dollar,Bill,47.91,CAD 47.91
Bill,C38814167-00,FEDEX,12/29/2021,Karyne Manseau,US Clearance,42.40,,-42.40,,,CAD 42.40,CAD 0.00,CAD -42.40,No,No,Canadian Dollar,Bill,42.40,CAD 42.40
Bill,C38814167-00,FEDEX,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,5.51,,-5.51,,,CAD 5.51,CAD 0.00,CAD -5.51,No,No,Canadian Dollar,BillLine,5.51,CAD 5.51
Bill Payment,4106,Coliman Pacific Corporation,12/29/2021,Karyne Manseau,Comptant USD,,"9,827.84","-9,827.84",,12/31/2021,USD 0.00,"USD 7,675.60","USD -7,675.60",Yes,No,United States Dollar,BillPaymentCheck,"9,827.84","USD 7,675.60"
Check,4106,Coliman Pacific Corporation,12/29/2021,Karyne Manseau,Comptes payables USD,"9,837.05",,"-9,837.05",,,"USD 7,675.60",USD 0.00,"USD -7,675.60",Yes,No,United States Dollar,CheckAdjustLine,"9,837.05","USD 7,675.60"
Check,4106,Coliman Pacific Corporation,12/29/2021,Karyne Manseau,Gains/Pertes de change réalisés Magaya,,9.21,9.21,Currency Adjustment,,CAD 0.00,CAD 9.21,CAD 9.21,Yes,No,Canadian Dollar,CheckAdjustLine,-9.21,CAD -9.21
Bill,29-12-2021,Sealand,12/29/2021,Karyne Manseau,Comptes payables USD,,12.80,-12.80,,,USD 0.00,USD 10.00,USD -10.00,No,No,United States Dollar,Bill,12.80,USD 10.00
Bill,29-12-2021,Maersk,12/29/2021,Karyne Manseau,Frais bancaires,12.80,,-12.80,,,USD 10.00,USD 0.00,USD -10.00,No,No,United States Dollar,Bill,12.80,USD 10.00
Bill Payment,4104,Sealand,12/29/2021,Karyne Manseau,Comptant USD,,"20,396.77","-20,396.77",,12/31/2021,USD 0.00,"USD 15,930.00","USD -15,930.00",Yes,No,United States Dollar,BillPaymentCheck,"20,396.77","USD 15,930.00"
Check,4104,Sealand,12/29/2021,Karyne Manseau,Comptes payables USD,"20,411.11",,"-20,411.11",,,"USD 15,930.00",USD 0.00,"USD -15,930.00",Yes,No,United States Dollar,CheckAdjustLine,"20,411.11","USD 15,930.00"
Check,4104,Sealand,12/29/2021,Karyne Manseau,Gains/Pertes de change réalisés Magaya,,14.34,14.34,Currency Adjustment,,CAD 0.00,CAD 14.34,CAD 14.34,Yes,No,Canadian Dollar,CheckAdjustLine,-14.34,CAD -14.34
Bill,E1D676B0-0030,Tedy,12/29/2021,Karyne Manseau,Comptes payables CAD,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,Bill,0.00,CAD 0.00
Bill,E1D676B0-0030,Tedy,12/29/2021,Karyne Manseau,Frais mensuel Tedy,35.00,,-35.00,,,CAD 35.00,CAD 0.00,CAD -35.00,No,No,Canadian Dollar,Bill,35.00,CAD 35.00
Bill,E1D676B0-0030,Tedy,12/29/2021,Karyne Manseau,Mastercard à payer,,40.24,40.24,,,CAD 0.00,CAD 40.24,CAD 40.24,No,No,Canadian Dollar,BillLine,-40.24,CAD -40.24
Bill,E1D676B0-0030,Tedy,12/29/2021,Karyne Manseau,TPS/TVH payées sur achat,1.75,,-1.75,,,CAD 1.75,CAD 0.00,CAD -1.75,No,No,Canadian Dollar,BillLine,1.75,CAD 1.75
Bill,E1D676B0-0030,Tedy,12/29/2021,Karyne Manseau,TVQ payée sur les achats,3.49,,-3.49,,,CAD 3.49,CAD 0.00,CAD -3.49,No,No,Canadian Dollar,BillLine,3.49,CAD 3.49
Invoice,3747,Costco Vaughan Wet,12/29/2021,Amandine Hance,Comptes clients USD,"18,642.92",,"18,642.92",,,"USD 14,550.00",USD 0.00,"USD 14,550.00",No,No,United States Dollar,Invoice,"18,642.92","USD 14,550.00"
Invoice,3747,Costco Vaughan Wet,12/29/2021,Amandine Hance,Ventes,,"18,642.92","18,642.92",,,USD 0.00,"USD 14,550.00","USD 14,550.00",No,No,United States Dollar,Invoice,"18,642.92","USD 14,550.00"
Invoice,3747,Costco Vaughan Wet,12/29/2021,Amandine Hance,Inventaire des fruits,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3747,Costco Vaughan Wet,12/29/2021,Amandine Hance,Coût du fruit,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Comptes clients USD,"18,642.92",,"18,642.92",,,"USD 14,550.00",USD 0.00,"USD 14,550.00",No,No,United States Dollar,Invoice,"18,642.92","USD 14,550.00"
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Ventes,,"9,321.46","9,321.46",,,USD 0.00,"USD 7,275.00","USD 7,275.00",No,No,United States Dollar,Invoice,"9,321.46","USD 7,275.00"
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Ventes,,"9,321.46","9,321.46",,,USD 0.00,"USD 7,275.00","USD 7,275.00",No,No,United States Dollar,Invoice,"9,321.46","USD 7,275.00"
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Inventaire des fruits,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Coût du fruit,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Inventaire des fruits,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3748,Costco Vaughan Wet,12/29/2021,Amandine Hance,Coût du fruit,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3749,Costco Vaughan Wet,12/29/2021,Amandine Hance,Comptes clients USD,"18,642.92",,"18,642.92",,,"USD 14,550.00",USD 0.00,"USD 14,550.00",No,No,United States Dollar,Invoice,"18,642.92","USD 14,550.00"
Invoice,3749,Costco Vaughan Wet,12/29/2021,Amandine Hance,Ventes,,"18,642.92","18,642.92",,,USD 0.00,"USD 14,550.00","USD 14,550.00",No,No,United States Dollar,Invoice,"18,642.92","USD 14,550.00"
Invoice,3749,Costco Vaughan Wet,12/29/2021,Amandine Hance,Inventaire des fruits,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3749,Costco Vaughan Wet,12/29/2021,Amandine Hance,Coût du fruit,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Bill,9526919028CC,Sealand,12/29/2021,Karyne Manseau,Comptes payables CAD,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,Bill,0.00,CAD 0.00
Bill,9526919028CC,Maersk,12/29/2021,Karyne Manseau,Transport Maritime,"4,516.98",,"-4,516.98",,,"CAD 4,516.98",CAD 0.00,"CAD -4,516.98",No,No,Canadian Dollar,Bill,"4,516.98","CAD 4,516.98"
Bill,9526919028CC,Sealand,12/29/2021,Karyne Manseau,Mastercard à payer,,"4,516.98","4,516.98",,,CAD 0.00,"CAD 4,516.98","CAD 4,516.98",No,No,Canadian Dollar,BillLine,"-4,516.98","CAD -4,516.98"
Payment,2005483294,Sobeys,12/29/2021,Karyne Manseau,Comptes clients CAD,,"31,680.00","31,680.00",,12/31/2021,CAD 0.00,"CAD 31,680.00","CAD 31,680.00",Yes,No,Canadian Dollar,Payment,"31,680.00","CAD 31,680.00"
Payment,2005483294,Sobeys,12/29/2021,Karyne Manseau,Comptant CAD,"31,680.00",,"-31,680.00",,12/31/2021,"CAD 31,680.00",CAD 0.00,"CAD -31,680.00",Yes,No,Canadian Dollar,PaymentAdjustLine,"31,680.00","CAD 31,680.00"
Invoice,3750,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Comptes clients USD,"23,985.94",,"23,985.94",,,"USD 18,720.00",USD 0.00,"USD 18,720.00",No,No,United States Dollar,Invoice,"23,985.94","USD 18,720.00"
Invoice,3750,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Ventes,,"23,985.94","23,985.94",,,USD 0.00,"USD 18,720.00","USD 18,720.00",No,No,United States Dollar,Invoice,"23,985.94","USD 18,720.00"
Invoice,3750,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Inventaire des fruits,,"11,875.87","-11,875.87",,,CAD 0.00,"CAD 11,875.87","CAD -11,875.87",No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,"11,875.87","CAD 11,875.87"
Invoice,3750,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Coût du fruit,"11,875.87",,"-11,875.87",,,"CAD 11,875.87",CAD 0.00,"CAD -11,875.87",No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,"11,875.87","CAD 11,875.87"
Payment,2005480693,Sobeys,12/29/2021,Karyne Manseau,Comptes clients CAD,,"31,680.00","31,680.00",,12/31/2021,CAD 0.00,"CAD 31,680.00","CAD 31,680.00",Yes,No,Canadian Dollar,Payment,"31,680.00","CAD 31,680.00"
Payment,2005480693,Sobeys,12/29/2021,Karyne Manseau,Comptant CAD,"31,680.00",,"-31,680.00",,12/31/2021,"CAD 31,680.00",CAD 0.00,"CAD -31,680.00",Yes,No,Canadian Dollar,PaymentAdjustLine,"31,680.00","CAD 31,680.00"
Bill,3400194886,Sealand,12/29/2021,Karyne Manseau,Comptes payables USD,"4,399.45",,"4,399.45",,,"USD 3,436.00",USD 0.00,"USD 3,436.00",No,No,United States Dollar,Bill,"-4,399.45","USD -3,436.00"
Bill,3400194886,Maersk,12/29/2021,Karyne Manseau,Transport Maritime,,"4,399.45","4,399.45",,,USD 0.00,"USD 3,436.00","USD 3,436.00",No,No,United States Dollar,Bill,"-4,399.45","USD -3,436.00"
Journal Entry,56,,12/29/2021,Karyne Manseau,Comptant CAD,,33.90,33.90,Frais intérêts MCR,12/31/2021,CAD 0.00,CAD 33.90,CAD 33.90,Yes,No,Canadian Dollar,JournalEntryLine,33.90,CAD 33.90
Journal Entry,56,,12/29/2021,Karyne Manseau,Intérêts marge de crédit,33.90,,-33.90,Frais intérêts MCR,,CAD 33.90,CAD 0.00,CAD -33.90,No,No,Canadian Dollar,JournalEntryLine,-33.90,CAD -33.90
Invoice,3751,Sobeys,12/29/2021,Amandine Hance,Comptes clients CAD,"31,680.00",,"31,680.00",,,"CAD 31,680.00",CAD 0.00,"CAD 31,680.00",No,No,Canadian Dollar,Invoice,"31,680.00","CAD 31,680.00"
Invoice,3751,Sobeys BCH,12/29/2021,Amandine Hance,Ventes,,"31,680.00","31,680.00",,,CAD 0.00,"CAD 31,680.00","CAD 31,680.00",No,No,Canadian Dollar,Invoice,"31,680.00","CAD 31,680.00"
Invoice,3751,Sobeys,12/29/2021,Amandine Hance,Inventaire des fruits,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3751,Sobeys,12/29/2021,Amandine Hance,Coût du fruit,,,,,,CAD 0.00,CAD 0.00,CAD -0.00,No,No,Canadian Dollar,InventoryAssetAdjustmentInvoice,0.00,CAD 0.00
Invoice,3752,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Comptes clients USD,"19,957.53",,"19,957.53",,,"USD 15,576.00",USD 0.00,"USD 15,576.00",No,No,United States Dollar,Invoice,"19,957.53","USD 15,576.00"
Invoice,3752,"Chiovitti Banana Co., Ltd",12/29/2021,Amandine Hance,Ventes,,"11,562.45","11,562.45",,,USD 0.00,"USD 9,024.00","USD 9,024.00",No,No,United States Dollar,Invoice,"11,562.45","USD 9,024.00"
